title,text,author,displayName,timestamp,external_url,uuid,page_title,meta_description
"Miley Cyrus says she has Reinke's edema, a disorder that makes her voice ""super unique""","Miley Cyrus has opened up about her experience with Reinke's edema, a vocal cord disorder that she says causes her signature sound.",cbsnews.com,CBS News,2025-05-28 01:00:00.970000+00:00,https://cbsn.ws/43zE5p6,at://did:plc:3bxtpdpr73tf7tldv5q4oyqc/app.bsky.feed.post/3lq6ytpr52j2y,"Miley Cyrus says she has Reinke's edema, a disorder that makes her voice ""super unique"" - CBS News","Miley Cyrus has opened up about her experience with Reinke's edema, a vocal cord disorder that she says causes her signature sound."
New student visas paused as State Dept. plans tougher social media review,The State Department on Tuesday suspended foreign students’ visa appointments as it weighs expanded guidelines for screening applicants’ social media accounts.,washingtonpost.com,The Washington Post,2025-05-28 00:52:20.780000+00:00,https://www.washingtonpost.com/education/2025/05/27/state-department-international-student-visa-review/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3lq6yfytyzs2k,,
"SpaceX megarocket gets farther in test than last two flights, but loses control on reentry to Earth | CNN",UPDATE: SpaceX's Starship travels farther in its latest test than the two previous flights but loses control on reentry and contact with mission control.,cnn.com,CNN,2025-05-28 00:52:04.026000+00:00,https://www.cnn.com/science/live-news/spacex-starship-flight-9-launch-05-27-25?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-05-28T00%3A51%3A21,at://did:plc:dzezcmpb3fhcpns4n4xm4ur5/app.bsky.feed.post/3lq6yfiuqok26,SpaceX launches Starship test flight 9: Live updates | CNN,"SpaceX has launched a ninth uncrewed test flight of Starship, the most powerful rocket system ever constructed. The mission comes after two prior tests ended in explosive failure. Follow for live updates."
"Trump touts free ""Golden Dome"" for Canada, as PM Carney pushes for closer ties with EU",Canadian PM Mark Carney told CBC today he wants Canada to sign on to a European defense rearmament plan by July 1. President Trump touted his own plans for Canada soon after.,axios.com,Axios,2025-05-28 00:51:43.197000+00:00,https://www.axios.com/2025/05/28/trump-canada-golden-dome-carney-eu,at://did:plc:f6avy7jkujdhusski5n64joj/app.bsky.feed.post/3lq6yeuz4tk2w,,
"Former Times reporter sues Villanueva, L.A County, alleging 1st Amendment violation","Former Times reporter sues Villanueva, L.A County, alleging 1st Amendment violation",latimes.com,Los Angeles Times,2025-05-28 00:51:03.498000+00:00,https://www.latimes.com/california/story/2025-05-27/former-times-reporter-files-1st-amendment-suit-against-former-sheriff-villanueva-county,at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3lq6ydp7yur2y,"Former Times reporter sues Villanueva, L.A County, alleging 1st Amendment violation - Los Angeles Times",Former Times reporter Maya Lau has filed a lawsuit claiming Los Angeles County and former Sheriff Alex Villanueva violated her 1st Amendment rights.
Japanese student in India reflects on her grandfather while filming World War II movie,"A 32-year-old Japanese filmmaker studying in India is creating a World War II-themed short film in the country, where her late grandfather is believed to have survived one of the fiercest battles during the war.",japantimes.co.jp,The Japan Times,2025-05-28 00:50:55.182000+00:00,https://www.japantimes.co.jp/news/2025/05/27/japan/japan-filmmaker-wwii-film-india/?utm_medium=Social&utm_source=Bluesky#Echobox=1748348161-1,at://did:plc:rddeinqb45gzem3n3zyma7im/app.bsky.feed.post/3lq6ydhhwc22k,Japanese student in India reflects on her grandfather while filming World War II movie - The Japan Times,"The filmmaker's late grandfather is believed to have survived one of the fiercest battles during the war in India, though he never spoke of it."
ASEAN countries struggle to resolve Trump's 'divide and conquer' tariffs,"ASEAN countries struggle to resolve Trump's 'divide and conquer' tariffs
https://asia.nikkei.com/Economy/Trade-war/Trump-tariffs/ASEAN-countries-struggle-to-resolve-Trump-s-divide-and-conquer-tariffs",asia.nikkei.com,Nikkei Asia (Official),2025-05-28 00:45:03.878000+00:00,https://asia.nikkei.com/Economy/Trade-war/Trump-tariffs/ASEAN-countries-struggle-to-resolve-Trump-s-divide-and-conquer-tariffs,at://did:plc:chrnwu7dgtrbnqjboekecqrg/app.bsky.feed.post/3lq6xyyakie2v,ASEAN countries struggle to resolve Trump's 'divide and conquer' tariffs - Nikkei Asia,"Vietnam, Malaysia, Indonesia on U.S. priority talks list but no firm deals yet"
Indonesia reels in 2 tons of meth from fishing boat in country's biggest-ever drug bust,"Indonesian authorities seized two tons of crystal methamphetamine hidden on a fishing boat and arrested six people in the country's biggest-ever drug bust, officials said Monday.",cbsnews.com,CBS News,2025-05-28 00:40:01.039000+00:00,https://cbsn.ws/3Sok0gs,at://did:plc:3bxtpdpr73tf7tldv5q4oyqc/app.bsky.feed.post/3lq6xpxg7yr27,Indonesia reels in 2 tons of meth from fishing boat in country's biggest-ever drug bust - CBS News,"Indonesia has extremely strict drug laws, and convicted smugglers are sometimes executed by firing squad."
,"The WNBA announced that its investigation could not substantiate allegations of “racist fan behavior” during a recent game between the Chicago Sky and Indiana Fever in Indianapolis earlier this month that featured Angel Reese and Caitlin Clark.

Read more: cnn.it/4kyLsE5",cnn.com,CNN,2025-05-28 00:37:03.674000+00:00,,at://did:plc:dzezcmpb3fhcpns4n4xm4ur5/app.bsky.feed.post/3lq6xkoahhs26,,
U.S. poised to receive golden share in U.S. Steel-Nippon Steel tie-up,The U.S. government is poised to receive a so-called golden share in United States Steel Corp. as a condition for approving Nippon Steel Corp.’s proposed acquisition of the American company.,japantimes.co.jp,The Japan Times,2025-05-28 00:34:59.969000+00:00,https://www.japantimes.co.jp/business/2025/05/28/companies/golden-share-us-steel-nippon-steel/?utm_medium=Social&utm_source=Bluesky#Echobox=1748390792,at://did:plc:rddeinqb45gzem3n3zyma7im/app.bsky.feed.post/3lq6xgyihnk2b,U.S. poised to receive golden share in U.S. Steel-Nippon Steel tie-up - The Japan Times,"The plan, which would give the government de facto veto rights on certain company decisions, is part of ongoing talks."
,Efforts to stabilize Afghanistan and restore the United States’ strategic credibility must begin by addressing the core demands of those involved in its future.  buff.ly/0ozWm3C,thediplomat.com,The Diplomat,2025-05-28 00:32:12.945000+00:00,,at://did:plc:xta63iqnrhi7tzp7y7b2mppi/app.bsky.feed.post/3lq6xbyyl6j2i,,
LAFC star Carlos Vela retires and becomes first club ambassador,LAFC star Carlos Vela retires and becomes first club ambassador,latimes.com,Los Angeles Times,2025-05-28 00:31:03.527000+00:00,https://www.latimes.com/sports/soccer/lafc/story/2025-05-27/lafc-star-carlos-vela-retires-and-becomes-first-club-ambassador,at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3lq6x7wsfdu2a,LAFC star Carlos Vela retires and becomes first club ambassador - Los Angeles Times,"Carlos Vela, the first designated player LAFC signed, announced his retirement and will become an ambassador for club."
"Japan to sound out JGB dealers June 20, fueling issuance cut talk","Good morning, Asia. This was our most read story while you were sleeping.

Japan to sound out JGB dealers June 20, fueling issuance cut talk
s.nikkei.com/3ZBwGo5",asia.nikkei.com,Nikkei Asia (Official),2025-05-28 00:30:56.188163+00:00,https://s.nikkei.com/3ZBwGo5,at://did:plc:chrnwu7dgtrbnqjboekecqrg/app.bsky.feed.post/3lq6x7prpoq2e,"Japan to sound out JGB dealers June 20, fueling issuance cut talk - Nikkei Asia",Gathering comes amid concern over rising ultralong bond yields
"Rick Derringer, 77, Who Sang ‘Hang On Sloopy’ and ‘Rock and Roll, Hoochie Koo,’ Dies","Rick Derringer, who sang the hit songs “Hang On Sloopy” and “Rock and Roll, Hoochie Koo” in a music career that spanned several decades and also included collaborations with Hulk Hogan and Weird Al Yankovic, died on Monday. He was 77.",nytimes.com,The New York Times,2025-05-28 00:21:57.033000+00:00,https://www.nytimes.com/2025/05/27/arts/music/rick-derringer-dead-hang-on-sloopy.html?smtyp=cur&smid=bsky-nytimes,at://did:plc:eclio37ymobqex2ncko63h4r/app.bsky.feed.post/3lq6wpnlp3c24,,
"Developing nations face 'tidal wave' of China debt, report finds","The world's poorest nations face a mountain of debt as repayments to China hit record highs in 2025, with the poorest 75 countries set to repay China a combined $22 billion.",japantimes.co.jp,The Japan Times,2025-05-28 00:20:51.046000+00:00,https://www.japantimes.co.jp/news/2025/05/27/world/politics/developing-nations-china-debt/?utm_medium=Social&utm_source=Bluesky#Echobox=1748390781,at://did:plc:rddeinqb45gzem3n3zyma7im/app.bsky.feed.post/3lq6wnozyp32k,"Developing nations face 'tidal wave' of China debt, report finds - The Japan Times",The poorest 75 countries are set to make 'record high debt repayments' to China in 2025 of a combined $22 billion.
"1,500-year-old bucket with human bones found inside was cremation burial vessel, archaeologists say","A 1,500-year-old bucket discovered in England has been identified as an ancient cremation burial vessel, experts said.",cbsnews.com,CBS News,2025-05-28 00:20:01.182000+00:00,https://cbsn.ws/4kGytjT,at://did:plc:3bxtpdpr73tf7tldv5q4oyqc/app.bsky.feed.post/3lq6wm7bmtz2y,"1,500-year-old bucket with human bones found inside was cremation burial vessel, archaeologists say - CBS News","Human and animal bones were found inside the 1,500-year-old Bromeswell bucket. A double-sided comb was also discovered."
Study Finds a Steep Drop in Mothers’ Mental Health,"The mental health of mothers in the U.S. declined significantly from 2016 to 2023, according to a new study published on Tuesday.",nytimes.com,The New York Times,2025-05-28 00:13:41.201000+00:00,https://www.nytimes.com/2025/05/27/well/family/maternal-mental-health-study.html?smtyp=cur&smid=bsky-nytimes,at://did:plc:eclio37ymobqex2ncko63h4r/app.bsky.feed.post/3lq6wauq45c24,,
"50 Cent gets a green light to seize a former employee's home, then gets back to mocking Diddy","50 Cent gets a green light to seize a former employee's home, then gets back to mocking Diddy",latimes.com,Los Angeles Times,2025-05-28 00:11:03.444000+00:00,https://www.latimes.com/entertainment-arts/music/story/2025-05-27/50-cent-ok-to-seize-house-former-employee-embezzlement,at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3lq6w46d4b72r,50 Cent gets a judge's OK to seize a former employee's home - Los Angeles Times,"50 Cent received a judge's OK to seize a former executive's home as part of a settlement over embezzlement from his Cognac and Champagne company, Sire Spirits."
Donald Trump offers Canada free ‘Golden Dome’ protection if it gives up sovereignty,"Donald Trump offers Canada free ‘Golden Dome’ protection if it gives up sovereignty

https://www.ft.com/content/9336bd99-8340-49c6-a9a1-25a76964b2b4",financialtimes.com,Financial Times,2025-05-28 00:10:03.981000+00:00,https://www.ft.com/content/9336bd99-8340-49c6-a9a1-25a76964b2b4,at://did:plc:5u54z2qgkq43dh2nzwzdbbhb/app.bsky.feed.post/3lq6wnjazk622,Subscribe to read,US president says otherwise it will cost its northern neighbour $61bn to join defence shield
A long way to go: Chicago Bears proposed move to Arlington Heights would require complicated approval by local taxing bodies,"The Chicago Bears have submitted required traffic and financial impact studies to Arlington Heights, marking the next step in their quest to build a new football stadium there.

But a Bears move to Arlington Heights will require much more than those plans.",chicagotribune.com,Chicago Tribune,2025-05-28 00:07:22.190000+00:00,https://www.chicagotribune.com/2025/05/27/arlington-heights-bears-approvals/,at://did:plc:jszy2fvtipwprnjhe7pxytfv/app.bsky.feed.post/3lq6vvlbm7k2x,Bears move to Arlington Heights would require complicated approvals,"The proposed move would require an extensive review by local school districts, a park district, and even, potentially, the Northwest Mosquito Abatement District."
Japan launches first nationwide shelter survey for future armed attack,"The government has carried out its first-ever nationwide survey of underground facilities, aiming to identify potential shelters to protect citizens in the event of a foreign armed attack.",japantimes.co.jp,The Japan Times,2025-05-28 00:06:48.943000+00:00,https://www.japantimes.co.jp/news/2025/05/27/japan/shelter-survey-launch/?utm_medium=Social&utm_source=Bluesky#Echobox=1748347743-2,at://did:plc:rddeinqb45gzem3n3zyma7im/app.bsky.feed.post/3lq6vulq33f2x,Hurdles remain for securing missile shelters in Japan - The Japan Times,Government carries out first large-scale survey to identify more potential evacuation sites.
Michael Rubin and comedian Tiffany Haddish reveal what's in store for Fanatics Games,Michael Rubin and comedian Tiffany Haddish reveal what's in store for Fanatics Games,cbsnews.com,CBS News,2025-05-28 00:00:00.848000+00:00,https://cbsn.ws/3He6v0A,at://did:plc:3bxtpdpr73tf7tldv5q4oyqc/app.bsky.feed.post/3lq6vigklbn2d,Michael Rubin and comedian Tiffany Haddish reveal what's in store for Fanatics Games - CBS News,"Fanatics CEO Michael Rubin and comedian Tiffany Haddish reveal what's in store for Fanatics Games, a high-profile sports event featuring NFL, NBA and UFC challenges."
"Mary Lou Retton, US gymnastics icon who survived health scare, arrested in West Virginia on suspicion of DUI | CNN",American gymnastics icon Mary Lou Retton faces a misdemeanor charge of driving under the influence following her arrest in her West Virginia hometown.,cnn.com,CNN,2025-05-27 23:58:24.740000+00:00,https://www.cnn.com/2025/05/27/sport/mary-lou-retton-arrest-spt?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-05-27T23%3A58%3A05,at://did:plc:dzezcmpb3fhcpns4n4xm4ur5/app.bsky.feed.post/3lq6vfkpwp226,"Mary Lou Retton, US gymnastics icon who survived health scare, arrested in West Virginia on suspicion of DUI | CNN",American gymnastics icon Mary Lou Retton faces a misdemeanor charge of driving under the influence following her arrest in her West Virginia hometown.
"Trump set to pardon reality TV stars Todd and Julie Chrisley in bank fraud, tax evasion case","Trump set to pardon reality TV stars Todd and Julie Chrisley in bank fraud, tax evasion case",latimes.com,Los Angeles Times,2025-05-27 23:51:04.296000+00:00,https://www.latimes.com/entertainment-arts/story/2025-05-27/todd-chrisley-julie-trump-pardon-bank-fraud-tax-evasion,at://did:plc:d2jith367s6ybc3ldsusgdae/app.bsky.feed.post/3lq6uygpg7a2l,"Trump to pardon Todd Chrisley, Julie Chrisley in fraud case - Los Angeles Times","Todd Chrisley and Julie Chrisley may soon leave life in federal prison behind  thanks to President Trump, who is set to pardon the 'Chrisley Knows Best' stars."
Nippon Steel partnership go-ahead boosts U.S.-Japan cooperation,Commentary: Donald Trump’s approval of Nippon Steel’s U.S. Steel partnership signals a key step in U.S.-Japan economic and security cooperation amid rising competition with China.,japantimes.co.jp,The Japan Times,2025-05-27 23:47:28.274000+00:00,https://www.japantimes.co.jp/commentary/2025/05/27/japan/nippon-steel-us-partnership/?utm_medium=Social&utm_source=Bluesky#Echobox=1748338119-3,at://did:plc:rddeinqb45gzem3n3zyma7im/app.bsky.feed.post/3lq6urysxsz2g,Nippon Steel partnership go-ahead boosts U.S.-Japan cooperation - The Japan Times,"The move is a sharp departure from Trump’s earlier, politically motivated stance opposing foreign ownership of U.S. Steel."
Trump to pardon reality stars Todd and Julie Chrisley,"President Donald Trump will soon pardon Todd and Julie Chrisley, the former stars of USA Network’s “Chrisley Knows Best,” who were found guilty of fraud and tax evasion, the White House confirmed on Tuesday.",washingtonpost.com,The Washington Post,2025-05-27 23:42:26.724000+00:00,https://www.washingtonpost.com/politics/2025/05/27/trump-pardon-chrisley/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3lq6uiz3l7s23,,
"Meet the ""Harry Potter"" actors cast to play Harry, Hermione and Ron in HBO Max's upcoming series","The actors who were cast for the lead roles in the upcoming ""Harry Potter "" series have been revealed.",cbsnews.com,CBS News,2025-05-27 23:40:01.811000+00:00,https://cbsn.ws/3HffYoe,at://did:plc:3bxtpdpr73tf7tldv5q4oyqc/app.bsky.feed.post/3lq6ueowo5r2y,"Meet the ""Harry Potter"" actors cast to play Harry, Hermione and Ron in HBO Max's upcoming series - CBS News","The actors who were cast for the lead roles in the upcoming ""Harry Potter​"" series have been revealed."
